director,actor2,genres,actor1,title,actor3,comb
Roger Avary,Faye Dunaway,Comedy Drama Romance,Ian Somerhalder,the rules of attraction,Clifton Collins Jr.,Ian Somerhalder Faye Dunaway Clifton Collins Jr. Roger Avary Comedy Drama Romance
Alfred Hitchcock,John Vernon,Drama Thriller,Roscoe Lee Browne,topaz,Philippe Noiret,Roscoe Lee Browne John Vernon Philippe Noiret Alfred Hitchcock Drama Thriller
Bob Odenkirk,Chi McBride,Comedy Crime,Dylan Baker,let's go to prison,Amy Hill,Dylan Baker Chi McBride Amy Hill Bob Odenkirk Comedy Crime
Allison Anders,Alicia Witt,Comedy Fantasy,Salma Hayek,four rooms,Lili Taylor,Salma Hayek Alicia Witt Lili Taylor Allison Anders Comedy Fantasy
Steven Shainberg,Stephen McHattie,Comedy Drama Romance,Jeremy Davies,secretary,Lesley Ann Warren,Jeremy Davies Stephen McHattie Lesley Ann Warren Steven Shainberg Comedy Drama Romance
Rick de Oliveira,Alan Taylor,Documentary,Laura Ramsey,the real cancun,Benjamin Fletcher,Laura Ramsey Alan Taylor Benjamin Fletcher Rick de Oliveira Documentary
Oliver Stone,Zach Grenier,Drama,Michael Wincott,talk radio,Bill Johnson,Michael Wincott Zach Grenier Bill Johnson Oliver Stone Drama
Christopher Guest,Fred Willard,Comedy,Catherine O'Hara,waiting for guffman,Larry Miller,Catherine O'Hara Fred Willard Larry Miller Christopher Guest Comedy
Jeff Franklin,Tyra Banks,Comedy,Ivana Milicevic,love stinks,Bridgette Wilson-Sampras,Ivana Milicevic Tyra Banks Bridgette Wilson-Sampras Jeff Franklin Comedy
John Dahl,Aaron Hughes,Comedy Crime Romance Thriller,Philip Baker Hall,you kill me,Jayne Eastwood,Philip Baker Hall Aaron Hughes Jayne Eastwood John Dahl Comedy Crime Romance Thriller
Mike Mills,Lou Taylor Pucci,Comedy Drama,Kelli Garner,thumbsucker,Nancy O'Dell,Kelli Garner Lou Taylor Pucci Nancy O'Dell Mike Mills Comedy Drama
Kevin Smith,Michael Angarano,Action Crime Horror Thriller,Anna Gunn,red state,Stephen Root,Anna Gunn Michael Angarano Stephen Root Kevin Smith Action Crime Horror Thriller
Dave McKean,Gina McKee,Adventure Fantasy,Stephanie Leonidas,mirrormask,Rob Brydon,Stephanie Leonidas Gina McKee Rob Brydon Dave McKean Adventure Fantasy
Ruggero Deodato,Eva LaRue,Adventure Fantasy,Michael Berryman,the barbarians,Richard Lynch,Michael Berryman Eva LaRue Richard Lynch Ruggero Deodato Adventure Fantasy
Gavin Wiesen,Blair Underwood,Drama Romance,Michael Angarano,the art of getting by,Rita Wilson,Michael Angarano Blair Underwood Rita Wilson Gavin Wiesen Drama Romance
Mora Stephens,Alexandra Breckenridge,Drama Thriller,Ray Winstone,zipper,Elena Satine,Ray Winstone Alexandra Breckenridge Elena Satine Mora Stephens Drama Thriller
Mars Callahan,Ricky Schroder,Drama Thriller,Chazz Palminteri,poolhall junkies,Ernie Reyes Jr.,Chazz Palminteri Ricky Schroder Ernie Reyes Jr. Mars Callahan Drama Thriller
Mike Figgis,Saffron Burrows,Drama,Kelly Macdonald,the loss of sexual innocence,Julian Sands,Kelly Macdonald Saffron Burrows Julian Sands Mike Figgis Drama
David Gordon Green,Tye Sheridan,Drama,Nicolas Cage,joe,Ronnie Gene Blevins,Nicolas Cage Tye Sheridan Ronnie Gene Blevins David Gordon Green Drama
Stefan Schwartz,Dan Futterman,Comedy Crime Romance,Peter McNamara,shooting fish,Ralph Ineson,Peter McNamara Dan Futterman Ralph Ineson Stefan Schwartz Comedy Crime Romance
Renny Harlin,Lane Smith,Crime Drama Horror Thriller,Viggo Mortensen,prison,Hal Landon Jr.,Viggo Mortensen Lane Smith Hal Landon Jr. Renny Harlin Crime Drama Horror Thriller
Robert Lee King,Kathleen Robertson,Comedy Horror Mystery,Lauren Ambrose,psycho beach party,Beth Broderick,Lauren Ambrose Kathleen Robertson Beth Broderick Robert Lee King Comedy Horror Mystery
Kevin Allen,Frances Fisher,Comedy,Craig Ferguson,the big tease,Mary McCormack,Craig Ferguson Frances Fisher Mary McCormack Kevin Allen Comedy
David Schwimmer,Jordan Trovillion,Crime Drama Thriller,Noah Emmerich,trust,Zoe Levin,Noah Emmerich Jordan Trovillion Zoe Levin David Schwimmer Crime Drama Thriller
Barry Levinson,Brían F. O'Byrne,Comedy,Anna Friel,an everlasting piece,Pauline McLynn,Anna Friel Brían F. O'Byrne Pauline McLynn Barry Levinson Comedy
Sam Miller,Alan Williams,Comedy Romance,Rachel Griffiths,among giants,Rob Jarvis,Rachel Griffiths Alan Williams Rob Jarvis Sam Miller Comedy Romance
Anne Fontaine,Naomi Watts,Drama Romance,Robin Wright,adore,Ben Mendelsohn,Robin Wright Naomi Watts Ben Mendelsohn Anne Fontaine Drama Romance
Dan Ireland,Danny Arroyo,Comedy Drama Romance,Salma Hayek,the velocity of gary,Olivia d'Abo,Salma Hayek Danny Arroyo Olivia d'Abo Dan Ireland Comedy Drama Romance
Jim Mickle,Michael Cerveris,Drama Horror Sci-Fi,Connor Paolo,stake land,Nick Damici,Connor Paolo Michael Cerveris Nick Damici Jim Mickle Drama Horror Sci-Fi
,Tiffany Thornton,Comedy Family Romance,Doug Brochu,sonny with a chance            ,Brandon Mychal Smith,Doug Brochu Tiffany Thornton Brandon Mychal Smith  Comedy Family Romance
Stephen Kay,Marg Helgenberger,Biography Drama,Keanu Reeves,the last time i committed suicide,Gretchen Mol,Keanu Reeves Marg Helgenberger Gretchen Mol Stephen Kay Biography Drama
Sam Levinson,Ezra Miller,Comedy Drama,George Kennedy,another happy day,Demi Moore,George Kennedy Ezra Miller Demi Moore Sam Levinson Comedy Drama
Julian Gilbey,Eamonn Walker,Action Adventure Crime Thriller,Ed Speleers,a lonely place to die,Sean Harris,Ed Speleers Eamonn Walker Sean Harris Julian Gilbey Action Adventure Crime Thriller
Vincenzo Natali,Angelo Tsarouchas,Comedy Fantasy,David Hewlett,nothing,Marie-Josée Croze,David Hewlett Angelo Tsarouchas Marie-Josée Croze Vincenzo Natali Comedy Fantasy
Peter H. Hunt,Ken Howard,Drama Family History Musical,Blythe Danner,1776,Howard Caine,Blythe Danner Ken Howard Howard Caine Peter H. Hunt Drama Family History Musical
Ruba Nadda,Bonnie Lee Bouman,Drama Mystery Romance Thriller,Saad Siddiqui,inescapable,Fadia Nadda,Saad Siddiqui Bonnie Lee Bouman Fadia Nadda Ruba Nadda Drama Mystery Romance Thriller
Howard Hughes,Marian Marsh,Drama War,Jean Harlow,hell's angels,James Hall,Jean Harlow Marian Marsh James Hall Howard Hughes Drama War
Edward Burns,Rosemarie DeWitt,Comedy Drama Romance,Debra Messing,purple violets,Peter Jacobson,Debra Messing Rosemarie DeWitt Peter Jacobson Edward Burns Comedy Drama Romance
Phil Joanou,Shannon Woodward,Horror,Lily Rabe,the veil,Kira McLean,Lily Rabe Shannon Woodward Kira McLean Phil Joanou Horror
Sean Byrne,Jessica McNamee,Horror Thriller,Robin McLeavy,the loved ones,Victoria Thaine,Robin McLeavy Jessica McNamee Victoria Thaine Sean Byrne Horror Thriller
Chris Stokes,Rachel Sterling,Horror,Kristen Quintrall,no vacancy,Black Thomas,Kristen Quintrall Rachel Sterling Black Thomas Chris Stokes Horror
Mark Griffiths,Gina Holden,Comedy Romance,Eric Mabius,how to fall in love,Brooke D'Orsay,Eric Mabius Gina Holden Brooke D'Orsay Mark Griffiths Comedy Romance
Bruce Macdonald,Cheryl Ladd,Adventure Biography Drama Romance,Rachel Hendrix,the perfect wave,Diana Vickers,Rachel Hendrix Cheryl Ladd Diana Vickers Bruce Macdonald Adventure Biography Drama Romance
Timur Bekmambetov,Ayelet Zurer,Adventure Drama History,Morgan Freeman,ben-hur,Moises Arias,Morgan Freeman Ayelet Zurer Moises Arias Timur Bekmambetov Adventure Drama History
Fred Zinnemann,Susannah York,Biography Drama History,Robert Shaw,a man for all seasons,Paul Scofield,Robert Shaw Susannah York Paul Scofield Fred Zinnemann Biography Drama History
Sidney Lumet,Faye Dunaway,Drama Romance,Robert Duvall,network,William Holden,Robert Duvall Faye Dunaway William Holden Sidney Lumet Drama Romance
Victor Fleming,George Reeves,Drama History Romance War,Hattie McDaniel,gone with the wind,Thomas Mitchell,Hattie McDaniel George Reeves Thomas Mitchell Victor Fleming Drama History Romance War
Richard Raymond,Reece Ritchie,Biography Drama,Tom Cullen,desert dancer,Marama Corlett,Tom Cullen Reece Ritchie Marama Corlett Richard Raymond Biography Drama
Sam Peckinpah,Slim Pickens,Adventure War Western,James Coburn,major dundee,Warren Oates,James Coburn Slim Pickens Warren Oates Sam Peckinpah Adventure War Western
Alan Jacobs,Laz Alonso,Drama,Snoop Dogg,down for life,Nicholas Gonzalez,Snoop Dogg Laz Alonso Nicholas Gonzalez Alan Jacobs Drama
George Sidney,Howard Keel,Biography Comedy Musical Romance Western,Keenan Wynn,annie get your gun,Betty Hutton,Keenan Wynn Howard Keel Betty Hutton George Sidney Biography Comedy Musical Romance Western
Christopher Morris,Riz Ahmed,Comedy Crime Drama,Kayvan Novak,four lions,Alex Macqueen,Kayvan Novak Riz Ahmed Alex Macqueen Christopher Morris Comedy Crime Drama
Peter Stebbings,Tony Nappo,Comedy Crime Drama,Michael Kelly,defendor,Charlotte Sullivan,Michael Kelly Tony Nappo Charlotte Sullivan Peter Stebbings Comedy Crime Drama
Vincente Minnelli,Reginald Owen,Adventure Comedy Musical Romance,Gladys Cooper,the pirate,Ellen Ross,Gladys Cooper Reginald Owen Ellen Ross Vincente Minnelli Adventure Comedy Musical Romance
Dagur Kári,Susan Blommaert,Drama,Alice Olivia Clarke,the good heart,Stephen Henderson,Alice Olivia Clarke Susan Blommaert Stephen Henderson Dagur Kári Drama
Nicholas Hytner,Russell Tovey,Comedy Drama,Dominic Cooper,the history boys,James Corden,Dominic Cooper Russell Tovey James Corden Nicholas Hytner Comedy Drama
Jaume Collet-Serra,Frank Langella,Action Mystery Thriller,Liam Neeson,unknown,Aidan Quinn,Liam Neeson Frank Langella Aidan Quinn Jaume Collet-Serra Action Mystery Thriller
,Jamie Farr,Comedy Drama War,David Ogden Stiers,m*a*s*h            ,Mike Farrell,David Ogden Stiers Jamie Farr Mike Farrell  Comedy Drama War
John Schlesinger,Barnard Hughes,Drama,Brenda Vaccaro,midnight cowboy,John McGiver,Brenda Vaccaro Barnard Hughes John McGiver John Schlesinger Drama
Jim Abrahams,Lloyd Bridges,Comedy,Peter Graves,airplane!,Barbara Billingsley,Peter Graves Lloyd Bridges Barbara Billingsley Jim Abrahams Comedy
Kevin Carraway,Max Ryan,Action Thriller,Michael Jai White,chain of command,Jon Osbeck,Michael Jai White Max Ryan Jon Osbeck Kevin Carraway Action Thriller
F. Gary Gray,John Witherspoon,Comedy Drama,Nia Long,friday,Tony Cox,Nia Long John Witherspoon Tony Cox F. Gary Gray Comedy Drama
Albert Hughes,Larenz Tate,Crime Drama Thriller,Jada Pinkett Smith,menace ii society,Khandi Alexander,Jada Pinkett Smith Larenz Tate Khandi Alexander Albert Hughes Crime Drama Thriller
,Gabourey Sidibe,Drama Music,Ta'Rhonda Jones,empire            ,Malik Yoba,Ta'Rhonda Jones Gabourey Sidibe Malik Yoba  Drama Music
Michael Gornick,Holt McCallany,Comedy Fantasy Horror Thriller,George Kennedy,creepshow 2,Dorothy Lamour,George Kennedy Holt McCallany Dorothy Lamour Michael Gornick Comedy Fantasy Horror Thriller
Sam Peckinpah,Jason Robards,Comedy Drama Romance Western,Slim Pickens,the ballad of cable hogue,L.Q. Jones,Slim Pickens Jason Robards L.Q. Jones Sam Peckinpah Comedy Drama Romance Western
Richard Brooks,Robert Blake,Biography Crime Drama History,John Forsythe,in cold blood,Will Geer,John Forsythe Robert Blake Will Geer Richard Brooks Biography Crime Drama History
Fred Zinnemann,Peter Finch,Drama,Colleen Dewhurst,the nun's story,Beatrice Straight,Colleen Dewhurst Peter Finch Beatrice Straight Fred Zinnemann Drama
Jack Smight,Robert Wagner,Action Crime Drama Mystery Thriller,Janet Leigh,harper,Shelley Winters,Janet Leigh Robert Wagner Shelley Winters Jack Smight Action Crime Drama Mystery Thriller
Alfred Hitchcock,Jean Marsh,Thriller,Bernard Cribbins,frenzy,Clive Swift,Bernard Cribbins Jean Marsh Clive Swift Alfred Hitchcock Thriller
Robert Eggers,Kate Dickie,Horror Mystery,Julian Richings,the witch,Ralph Ineson,Julian Richings Kate Dickie Ralph Ineson Robert Eggers Horror Mystery
Michael Martin,Master P,Comedy,Joe Estevez,i got the hook up,Anthony Johnson,Joe Estevez Master P Anthony Johnson Michael Martin Comedy
Edward Burns,Frank Vincent,Comedy Drama Romance,John Mahoney,she's the one,Michael McGlone,John Mahoney Frank Vincent Michael McGlone Edward Burns Comedy Drama Romance
Bill Condon,Lynn Redgrave,Biography Drama,Brendan Fraser,gods and monsters,Kevin J. O'Connor,Brendan Fraser Lynn Redgrave Kevin J. O'Connor Bill Condon Biography Drama
George A. Romero,John Amplas,Horror,Greg Nicotero,day of the dead,Joseph Pilato,Greg Nicotero John Amplas Joseph Pilato George A. Romero Horror
Gideon Raff,Gloria Votsis,Horror Thriller,Gideon Emery,train,Derek Magyar,Gideon Emery Gloria Votsis Derek Magyar Gideon Raff Horror Thriller
Sam Raimi,Dan Hicks,Comedy Fantasy Horror Thriller,Ted Raimi,evil dead ii,Kassie Wesley DePaiva,Ted Raimi Dan Hicks Kassie Wesley DePaiva Sam Raimi Comedy Fantasy Horror Thriller
Louis C.K.,J.B. Smoove,Action Adventure Comedy Musical,Wanda Sykes,pootie tang,Robert Vaughn,Wanda Sykes J.B. Smoove Robert Vaughn Louis C.K. Action Adventure Comedy Musical
Anthony C. Ferrante,John Heard,Horror,Ian Ziering,sharknado,Cassandra Scerbo,Ian Ziering John Heard Cassandra Scerbo Anthony C. Ferrante Horror
Robert Cary,Fred Willard,Comedy Romance,Frances Conroy,ira & abby,Kevin Sussman,Frances Conroy Fred Willard Kevin Sussman Robert Cary Comedy Romance
Akiva Schaffer,Nicholas Braun,Action Comedy Sci-Fi,Will Forte,the watch,Rosemarie DeWitt,Will Forte Nicholas Braun Rosemarie DeWitt Akiva Schaffer Action Comedy Sci-Fi
Adam Rapp,Will Ferrell,Comedy Drama,Zooey Deschanel,winter passing,Dallas Roberts,Zooey Deschanel Will Ferrell Dallas Roberts Adam Rapp Comedy Drama
Angela Robinson,Geoff Stults,Action Comedy Romance,Jordana Brewster,d.e.b.s.,Scoot McNairy,Jordana Brewster Geoff Stults Scoot McNairy Angela Robinson Action Comedy Romance
Warren P. Sonoda,Mykel Shannon Jenkins,Action Biography Crime Drama Family Fantasy,Diahann Carroll,the masked saint,Lara Jean Chorostecki,Diahann Carroll Mykel Shannon Jenkins Lara Jean Chorostecki Warren P. Sonoda Action Biography Crime Drama Family Fantasy
Amanda Gusack,Christian Campbell,Crime Drama Mystery Thriller,Alice Krige,the betrayed,Blaine Anderson,Alice Krige Christian Campbell Blaine Anderson Amanda Gusack Crime Drama Mystery Thriller
Avi Nesher,Elizabeth Berkley,Action Comedy Crime Thriller,Fisher Stevens,taxman,Robert Townsend,Fisher Stevens Elizabeth Berkley Robert Townsend Avi Nesher Action Comedy Crime Thriller
,Ash Cook,Drama Thriller,James Nesbitt,the secret            ,Genevieve O'Reilly,James Nesbitt Ash Cook Genevieve O'Reilly  Drama Thriller
Charles Adelman,Kevin Pollak,Horror Thriller,Teri Polo,2:13,Jere Burns,Teri Polo Kevin Pollak Jere Burns Charles Adelman Horror Thriller
Jay Oliva,Mark Valley,Action Animation Crime Sci-Fi Thriller,Michael Emerson,"batman: the dark knight returns, part 2",Grey Griffin,Michael Emerson Mark Valley Grey Griffin Jay Oliva Action Animation Crime Sci-Fi Thriller
Charles Ferguson,Jerry Brown,Documentary,Jane Goodall,time to choose,Peter Agnefjall,Jane Goodall Jerry Brown Peter Agnefjall Charles Ferguson Documentary
Uwe Boll,Shelly Varod,Action Adventure Fantasy Thriller,Bashar Rahal,in the name of the king: the last job,Ralitsa Paskaleva,Bashar Rahal Shelly Varod Ralitsa Paskaleva Uwe Boll Action Adventure Fantasy Thriller
Mark Young,Jake Busey,Action Crime Drama Thriller,Alexa PenaVega,wicked blood,Lew Temple,Alexa PenaVega Jake Busey Lew Temple Mark Young Action Crime Drama Thriller
Daniel Petrie Jr.,Jeff Fahey,Drama Thriller,Chris Brochu,dawn patrol,Rita Wilson,Chris Brochu Jeff Fahey Rita Wilson Daniel Petrie Jr. Drama Thriller
Antonio Simoncini,Joe Egan,Crime Mystery Thriller,Ray Winstone,lords of london,Glen Murphy,Ray Winstone Joe Egan Glen Murphy Antonio Simoncini Crime Mystery Thriller
Mel Brooks,Harvey Korman,Comedy,Madeline Kahn,high anxiety,Dick Van Patten,Madeline Kahn Harvey Korman Dick Van Patten Mel Brooks Comedy
J.C. Chandor,Demi Moore,Biography Drama Thriller,Kevin Spacey,margin call,Ashley Williams,Kevin Spacey Demi Moore Ashley Williams J.C. Chandor Biography Drama Thriller
Eldar Rapaport,Adrian Gonzalez,Drama Romance,Murray Bartlett,august,Edward Conna,Murray Bartlett Adrian Gonzalez Edward Conna Eldar Rapaport Drama Romance
Clark Gregg,Matt Gerald,Comedy Drama,Anjelica Huston,choke,Jonah Bobo,Anjelica Huston Matt Gerald Jonah Bobo Clark Gregg Comedy Drama
Damien Chazelle,Melissa Benoist,Drama Music,J.K. Simmons,whiplash,Chris Mulkey,J.K. Simmons Melissa Benoist Chris Mulkey Damien Chazelle Drama Music
Justin Kerrigan,John Simm,Comedy Music,Danny Dyer,human traffic,Shaun Parkes,Danny Dyer John Simm Shaun Parkes Justin Kerrigan Comedy Music
Nathan Frankowski,Rus Blackwell,Biography Drama Music,Corbin Bleu,day one,Luis Antonio,Corbin Bleu Rus Blackwell Luis Antonio Nathan Frankowski Biography Drama Music
Karen Moncrieff,Bruce Davison,Crime Drama Mystery,James Franco,the dead girl,Piper Laurie,James Franco Bruce Davison Piper Laurie Karen Moncrieff Crime Drama Mystery
Bob Clark,Darren McGavin,Comedy Family,Zack Ward,a christmas story,Scott Schwartz,Zack Ward Darren McGavin Scott Schwartz Bob Clark Comedy Family
Alejandro Monteverde,Ramon Rodriguez,Drama Romance,Armando Riesco,bella,Eduardo Verástegui,Armando Riesco Ramon Rodriguez Eduardo Verástegui Alejandro Monteverde Drama Romance
Mark L. Lester,Perry King,Action Crime Drama Thriller,Roddy McDowall,class of 1984,Timothy Van Patten,Roddy McDowall Perry King Timothy Van Patten Mark L. Lester Action Crime Drama Thriller
Jennifer Finnigan,Kenan Thompson,Comedy,Geoff Stults,the opposite sex,Josh Hopkins,Geoff Stults Kenan Thompson Josh Hopkins Jennifer Finnigan Comedy
Eric Styles,Rupert Graves,Drama Romance,Samantha Morton,dreaming of joseph lees,Miriam Margolyes,Samantha Morton Rupert Graves Miriam Margolyes Eric Styles Drama Romance
Roman Polanski,Mia Farrow,Drama Horror,John Cassavetes,rosemary's baby,Charles Grodin,John Cassavetes Mia Farrow Charles Grodin Roman Polanski Drama Horror
John Ford,Woody Strode,Drama Western,Lee Marvin,the man who shot liberty valance,Vera Miles,Lee Marvin Woody Strode Vera Miles John Ford Drama Western
Max Mayer,Terry Walters,Drama Romance,Peter Gallagher,adam,Amy Irving,Peter Gallagher Terry Walters Amy Irving Max Mayer Drama Romance
Mike Mills,Lou Taylor Pucci,Comedy Drama Romance,Goran Visnjic,beginners,Mary Page Keller,Goran Visnjic Lou Taylor Pucci Mary Page Keller Mike Mills Comedy Drama Romance
John Gulager,Eric Dane,Action Comedy Horror Thriller,Krista Allen,feast,Henry Rollins,Krista Allen Eric Dane Henry Rollins John Gulager Action Comedy Horror Thriller
John Landis,Karen Allen,Comedy,John Belushi,animal house,Tim Matheson,John Belushi Karen Allen Tim Matheson John Landis Comedy
Guy Hamilton,Gert Fröbe,Action Adventure Thriller,Honor Blackman,goldfinger,Lois Maxwell,Honor Blackman Gert Fröbe Lois Maxwell Guy Hamilton Action Adventure Thriller
Brandon Cronenberg,Douglas Smith,Horror Sci-Fi Thriller,Sarah Gadon,antiviral,Caleb Landry Jones,Sarah Gadon Douglas Smith Caleb Landry Jones Brandon Cronenberg Horror Sci-Fi Thriller
Frank Capra,Lionel Barrymore,Drama Family Fantasy Romance,Donna Reed,it's a wonderful life,Thomas Mitchell,Donna Reed Lionel Barrymore Thomas Mitchell Frank Capra Drama Family Fantasy Romance
Danny Boyle,Shirley Henderson,Drama,Kelly Macdonald,trainspotting,Ewen Bremner,Kelly Macdonald Shirley Henderson Ewen Bremner Danny Boyle Drama
Spike Lee,Cedric the Entertainer,Comedy Documentary,Bernie Mac,the original kings of comedy,Steve Harvey,Bernie Mac Cedric the Entertainer Steve Harvey Spike Lee Comedy Documentary
